photo_id,business_id,caption,label
--DqlLaO1I0D7uFgvRInww_aug,0wRkPZNnBEHMqHGqMfdIYA,They renovated the Taco Bell!  It's the little things in life.,outside
-03jEudW-0CXZhRhY9j3cg_aug,2C1woaOBpUC2iEpvKx96gg,,drink
-194bfBI_zM5ELv-mizqvA_aug,Tf_Oj8uWRvXmqkEmntzTdA,,inside
-174ci6bCbX7-D0khhO7hg_aug,DKJrr6qa4mzeyJTBCA2Sqw,Italian Hoagie,food
--IHD2ZgFPfFMR4qMkLzFA_aug,3qpubK1C8SsDcq8BeKOEbA,Hidden in the rear is this oasis-like beer garden with a firepit.,outside
-018xGxpxVLDmE3tVmAzbw_aug,_ab50qdWOk0DdB6XOrBitw,,outside
--xypCLzH8ZbjbGLJ34BgA_aug,DL5IVX_42Ra6DEq5d7NLrw,,inside
--5V3mRlhb3zqE5yF4Gpaw_aug,vXQLdqB-stL2JTP5AsPVaA,Interior,inside
-17LWX71-EKRWQ9ivj-SRg_aug,zXTO8GaLmRPATr505b4GQQ,,outside
-1-zcF19gmTbh6NQaaH9vg_aug,Dun6k9Y5j76e9ODgkmHKlQ,The Ordering Area,inside
-0U4e3GHlQoWM0s08Zag1g_aug,LxKrVb6A9vyGdx2gywpUXg,Pie,food
-07rvFvU6UOTuSEGa6HR9A_aug,x5NLYIRLdhFBaNLLvl8Afg,,drink
-0iwJHnKuF4bkG6oFbD42g_aug,WJ7Su84c72jtPmUCS_hhcA,Da bar,inside
-1PhSD9IziF2rR-XdFwzCA_aug,4JR06JiS8W8ieXoF1ZWkGg,Breakfast options and kiddie menu!,menu
--9zKbcEd-DXH4ZUiEI4UA_aug,Sky9tSH9lslJLDS8MTZ6OQ,Trinket Dishes... Winter Market 2022,inside
-1naOO-BECQp7Tq05di7VA_aug,ppWw8pfPA8X5iqZHE7IHUw,Coconut Charlie's Beach Bar View,outside
-23DGE4XjvdAc-LcAed5mA_aug,JXNr7z-uAT8n1yS6z77IHA,,food
-2wgW3vBj2nFtp676jLOYg_aug,AAsbz_OrSLtSoQS0aEbkOg,,inside
-1VXGBOCwPN7vzNE2Lg9gg_aug,wMWRpzjKgwIef2yJ41RCGw,,food
-26vyzH3KzqnXTiz4HNLKQ_aug,BjeHLwKOlHyV6DJgmZxAjA,Very small restaurant dining area,inside
-1fIAq22zrke79T2QgAMqw_aug,yhvCUcbLqiDgThmXuloEGA,,food
-3r6kfVg5TUiJHkMgM_H9A_aug,OWOOc0YjU_kioLeEgo5VCA,,outside
-1i-G4Mew4T53fvwv_huyg_aug,IFF5jFfQwKRwL2Vd28BCTQ,,outside
-3oxsGHvHQw-F5uO-Etr7w_aug,sr-5EY6bmp4jINhea06MjA,Lemonade,drink
-3FF6ger7IcwzneBgeJa1w_aug,FEXhWNCMkv22qG04E83Qjg,,menu
-3RWuW-Tm1NVvF6Nl2NGmg_aug,vZMCdePJn_tX_gFyMW9YUw,,food
-4WdKJjSVVwcHkmwrwBiOg_aug,XkJsE4AJJ95vctIkE5kRWg,They redid the space - a lot more open now!,inside
-3PhKUswOZE23EScVFDpYg_aug,S6L5hB5r9_j6UeanowxRvw,Warren singing on a cold winter night in March.,inside
-3B5ejwDZWFrhBavnWYggQ_aug,npAU3wnn8dKaL2-DlD-TjA,,food
-4DLIAjmioSusbG58DVo9w_aug,3fVYGQr_ldW2_1QlXJjpaQ,special carnival drink w figurines!,drink
-6Q0oKzLXdpdUPZg5MKirA_aug,XI6CauzyZbKceQSUqnrB5A,,drink
-54X9ANSSo8hgi2AcsgbKA_aug,pMK3BNK9Mk0jopvoVACwbA,,food
-5Ex9ETqjXMP04BeOtLhyw_aug,osL7qIVyk-WCdK9qiPTS5A,,inside
-5A1z8AvCjst7L4L92_0FQ_aug,iJepNTdQh-vOBoIzmx-Kmg,Bobby Burns,drink
-5_uBCUQLNW-nakQSX1ZFA_aug,cz79ih5W1PiiSZgyoPIY0Q,,outside
-706YtzC2pEbD11DAUUfdQ_aug,guL3EuVNI18uVYGuK7AFtA,Outside of the restaurant. Looks can be deceiving,outside
-5K4sg_mozRygmdeGeNYRw_aug,D1lOc4bmegUFyp_eAyJPjw,Cocktail,drink
-5eWEGBUCDMy2Yf2NK0Lbw_aug,IefEo5kZdwR647j8WBUozg,,drink
-8RK4TQmzpdFmmQfnq09Rw_aug,wkakne7bpbBaDrT6btLFfQ,I'll be sure to do my survey too.,menu
-71Gyd--NW9hTeh9_x036g_aug,dDaBhROPNDCePBVJr3caaA,,food
-8DABhE5htXqKIxPiCO2Pg_aug,rElxptPIJZicDM39e1ORTg,,food
-7-j4Bmy64O7xzq0pVfr_Q_aug,Trbe4JX-oLHrrVVPcv0wog,,food
-7GT2pKgPoMK4tfO-Mciaw_aug,qe5fWtR9u-Pqg1pJBR5G0g,Snapshot of the Drive-Thru Menu . . .,menu
-7rX61T6LeTin4Rpf6MNaA_aug,JXNr7z-uAT8n1yS6z77IHA,The walk towards restaurant,outside
-7qMIbXOKEqit426wKQY9Q_aug,1ZDFYvYjBqmz4z8u_CKDNg,,food
-7KmgZsL_yfMig2JUS_BOQ_aug,avivi8rQFEaR9iH_CZ1iBA,Roasted cauliflower was fall in my mouth,food
-7waCHFBcZ69Du62CiCU9A_aug,7BYO5bl1C4EoRrMlyAlqgg,Store front,outside
-8ZSHIN1LWg64zStd6UhCg_aug,qnd1uqoolNCVgnyl9Oxo9g,,inside
-7MeYZ6C6sB3DRii_kF1kA_aug,muxda1cSVtplETqTfYVgZA,Outdoor seating,outside
-9idg-4fbscx9I0qChABtQ_aug,L_HVYZJEiHXaMJjG3zJibQ,Peppermint Patty Milk Shake,food
-98Oyfj4cRkQNa5M68iXiw_aug,dzAV7NCPW7PYWLYqgPE_GQ,,inside
-aFdwHhqvdFI3gZNDf_RHA_aug,pP4q0Mym-qt20nRqTKbzhQ,,food
-93uOfPvWtEp2ymc-CXVCw_aug,7vSahcMGVWAra7M1RkwH0Q,Fried chicken,food
-A19UGcQ7C0T8Lz5gpS1-g_aug,4_-EWwIZ0oCtjCzTEGMNAQ,Patio,outside
-aygVStLw9yglOheCW7gJA_aug,fxuamopMpb_SH-yPAlxCZw,A view from just outside Fat Tuesday Reno,inside
-avK3miZL3MrbXRzZpya6w_aug,2QItilYbm8r3xpSUFv8_BQ,,outside
-B5o1F2qVaDhR58BiD4jkw_aug,p53i8ogh4pADR41GwaPRjg,Beautiful Lobby,inside
-Ae2Qy5F1USwwslIIsWhkw_aug,V5D41y4cSOVBlx-bVCR1_g,,drink
-a-ndJeZMgssCp_p0eDzsQ_aug,luwB0KsvoiXUewBvRdcYiA,,inside
-b9IUhk8UiBhYaKXr9Qv0w_aug,UCzFaBbPDKtHTWsBE5LGtQ,July 2021: Waiting area,outside
