photo_id,business_id,caption,label
4qu5Yb4zpKEPMHnIokvsFw,3LN-a28iwqL4EcuN3SXqsg,,outside
IhOOEqw65z-qWMcYxz9Ysg,MlW6HlXSJAc1vIiH2Nueow,The guys working Saturday at 6 pm were the friendliest. Even brought out and offered water!,drink
7NVdtW5E7liFMvGnW6kckw,RS4epErt5vEvSCp-U7Or3g,,inside
swsTtxXEbEixoZjkOZNgVQ,FGGDERcsTDYt6uLHPWEKrw,For gluten free customers...,menu
hqZxiY-ISxEwXARWH6u7vA,agRssYozLGjGEsBZAo1Cbw,,drink
ugSz8zOTJpqq_AJ13NQL8A,CsYpEHP2fvZV2yt49fSgJA,,inside
R2U5ZxmM1sdsXC_9UqefQg,MjYOcDz1QvPb9h6rRlpddQ,oasis,food
X8pi3MZjnzqPfVuztJ_l0g,3Sxj2NQ-2Gr06qoax1R-Kw,Crunchy Florida Roll,food
Pj_w5TZ72-tZHdjX5v2abg,z5nU7jIyr-_Hv5ZDH0nY1A,,food
DwhU7mWPcjITx0fGTj6Vrg,aFhPwy7OhyKah4cJY2QdEQ,,outside
Z8Qr4qWqLVG-TQ54gSitGw,Xr3s273fZicfRWzqMBT5hw,,outside
1ncBF14J3gIBTsdNewd5HQ,JgBdKjE8cCB4eWRtRDGeVQ,Jazz piano,inside
G0rDsZnFP_rmkOwCfsMCeA,3koeM2Blt-4rEmVIJAZf8Q,Woodwork. Canada 2015,inside
RSJGTNIlmNRrR1vYlg96Gw,ws6TIgXXA-5RSHRrMBEktA,,menu
RjHOBNbKa_D4vFWfT-uSGg,4WJqHhAq_CbtpzNiUuE9Eg,Source: Cinder Bar website,menu
YIp08gDAJSnrxoMXQ_a9Tw,ySXKjndttZjNy3kcqRqG3g,Hours,outside
QYQklhIV6_ncn9A8scNq6g,yd2vlqig_1inpOYcDzzHGA,French Dip,food
bKJxy5tzbST62U9pmx3dBA,qXzkHqSTxtyTiKqzTtP0Ew,ENTRANCE,outside
dp5uhM52ZqYvcFJ-N6wsdQ,HANUMhsKdPgxguzxv0D-cw,Cocktail Views,inside
eU2EFpfi-aJ0JZaO6pqyMg,jugVvW4yAJu92lzv3jun0w,Awesome,outside
5JzJkpj2iHck-vzyt8HxFw,T3Bbtht3jO2izyO6f6W8bg,,inside
0iwGSlh7Qk1oloYPYEk1_A,gBKe8wH1TnSmBBpLfHRKbw,,inside
IxD7EZMdWmVaCsNyJ2IiQw,xmO9u_t1LspxV5iuF594Tg,Wudon BBQ MENU,menu
Df7z7j9U2wp8pMAOaxbHmA,2PlhAoV-zXw2SUaWzkw-Ng,Exterior (photographed by Dave Hong),outside
JXgq6ejbHosMnUIWvYCOwA,GROalyyK79uPqR8GnwpRTw,,inside
4lraAbgccXbphZagl_zBww,GXFMD0Z4jEVZBCsbPf4CTQ,Menu,inside
ukQY-rcV4bHTNXZFcq0I-w,EBonJ5tjkxBEUezwosVlLg,,menu
qaMq_8oz0WZlnrUq7jscXA,TFfn6QThcQ3ZNG0utyNanA,,food
snYIguw4Qj_QaPvGOIOsFg,oCKTM-7LazLVwptMkNNdZQ,Chicken pesto panini and goodness greens juice,food
